x1;x2;deposit
-7.994482808160514;4.520216649073486;yes
-0.08696894239547381;6.676976886611022;yes
-0.27422265885599906;6.748554476406189;yes
-0.35949836732332097;4.435130334190997;yes
-0.02365139449818443;4.836314651021247;yes
-0.5201069526893227;3.786313613928116;yes
0.08919814622651634;6.540989299180571;yes
1.1215670200868835;3.885941985742316;yes
1.9196714672488402;2.3722697170282983;yes
-2.7440573977878766;6.4040879199024685;yes
-7.106522462808821;5.208286507601223;yes
1.69547873354862;5.383855259029403;yes
-2.6256617086895444;6.3570967699228;yes
-7.637257748060154;4.842995528985333;yes
-0.14691831334026828;5.490018365658394;yes
-8.980148810489561;3.86452581347303;yes
-10.013498727807828;3.2522962318898143;yes
-4.209726167273926;6.108476369485631;yes
0.9136658497868138;5.300980522171098;yes
-2.915866646029426;6.783425162077474;yes
-0.9931466926084815;6.500258089010578;yes
-3.119926040925187;6.707755065934809;yes
-8.573684667543494;4.2963883920097965;yes
-3.6368350541488317;6.203748521889234;yes
-4.10048931252588;6.417328813852459;yes
-3.835739092801901;6.535010947130213;yes
-3.4341458123841675;6.644585139667736;yes
-9.6437068218501;3.5121742736810395;yes
0.9023413480743225;5.354441433616988;yes
-13.232768966614161;0.8878303007044669;yes
-11.800280781335541;1.919622562101838;yes
-2.8273886486744777;6.656443620742155;yes
1.430836846344374;5.417086473958407;yes
-0.023693239135451627;4.659124085132527;yes
1.2640973924434022;3.093940996388429;yes
-0.22721370048512135;3.637863299238565;yes
0.8587226271822352;5.601101299468947;yes
1.6293191682491988;5.380728456554646;yes
-11.184330340897919;2.4054804447520364;yes
-0.21031651119734107;5.429369390017034;yes
-19.066569096376373;-14.735493431052888;yes
0.731619227203502;6.101933374606307;yes
-8.050102101002771;4.469666029705638;yes
-2.223406041261428;6.830280905117347;yes
0.0705513329850942;3.596635671878552;yes
0.8159613320384702;5.190913197915735;yes
0.8066805937106847;4.422161423131243;yes
-0.08854454660985933;6.006744294037692;yes
0.9261097003143082;4.466806786492421;yes
0.4291861342501728;5.056154002156486;yes
1.385764598516436;4.24552800119408;yes
1.5263605472708046;5.553623068334573;yes
-0.4225387766623041;5.378295295206543;yes
-0.49829130462294424;6.398640089062293;yes
-9.701897149866701;3.5031473222780027;yes
-11.021767224701614;2.496327085937837;yes
